Subject_ID,mean_velocity,std_velocity,foot_distance_std,knee_angles_mean,core_mean_velocity,z_range,x_mean,mean_confidence,com_autocorr_1,com_trend,movement_reversals,movement_regularity,stability_trend,stability_variance,stability_min,dominant_frequency,spectral_centroid,spectral_spread,spectral_energy,freq_power_ratio,left_arm_asymmetry,left_leg_asymmetry,base_support_mean,base_support_std,base_support_min,cop_velocity,cop_acceleration,cop_path_length,left_arm_right_arm_coordination,left_leg_right_leg_coordination,left_arm_left_leg_coordination,right_arm_right_leg_coordination,left_arm_right_arm_phase_coupling,left_arm_left_leg_phase_coupling,left_arm_right_leg_phase_coupling,right_arm_left_leg_phase_coupling,right_arm_right_leg_phase_coupling,left_leg_right_leg_phase_coupling,sway_area,sway_velocity,sway_acceleration,ml_sway,ap_sway,left_knee_left_ankle_coord,right_knee_right_ankle_coord,left_shoulder_left_elbow_coord,right_shoulder_right_elbow_coord,interaction_mean_velocity_std_velocity,interaction_mean_velocity_foot_distance_std,interaction_mean_velocity_knee_angles_mean,interaction_mean_velocity_core_mean_velocity,interaction_mean_velocity_z_range,interaction_mean_velocity_x_mean,interaction_mean_velocity_mean_confidence,interaction_std_velocity_foot_distance_std,interaction_std_velocity_knee_angles_mean,interaction_std_velocity_core_mean_velocity,interaction_std_velocity_z_range,interaction_std_velocity_x_mean,interaction_std_velocity_mean_confidence,interaction_foot_distance_std_knee_angles_mean,interaction_foot_distance_std_core_mean_velocity,interaction_foot_distance_std_z_range,interaction_foot_distance_std_x_mean,interaction_foot_distance_std_mean_confidence,interaction_knee_angles_mean_core_mean_velocity,interaction_knee_angles_mean_z_range,interaction_knee_angles_mean_x_mean,interaction_knee_angles_mean_mean_confidence,interaction_core_mean_velocity_z_range,interaction_core_mean_velocity_x_mean,interaction_core_mean_velocity_mean_confidence,interaction_z_range_x_mean,interaction_z_range_mean_confidence,interaction_x_mean_mean_confidence,velocity_cv,balance_coordination
E01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.985003149933758,-1.5840502676600286e-05,0.5249457700650759,0.0017043693833281685,0.00027939924573029267,1.7667058919606453e-05,0.9644134258674442,0.0,-2.098551709988645e-07,0.22041386949708752,169088.23422621156,3.5653413435310553,0.02776487345198416,0.007071974233610415,0.08036140377808312,0.025352562277345895,0.008015702667265048,0.0026249175698384968,0.0045264114351317485,16.242989922160618,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.09891489189863621,0.0024641997120092222,0.004043290686946161,0.07913595494172572,0.018465146569159648,-0.027308351398002986,-0.04025987724718499,0.19378200790683134,0.26138609733935464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9786424058004541,2.1772877650992903e-06,0.5211023318558489,0.0011562921564848719,-0.00017189478607367506,3.419838001734016e-05,0.9617898382740939,0.0,-9.463378648291287e-06,0.2039750166753645,53821.00181824763,4.661930717807359,0.016336107901168427,0.0008698365210400551,0.0706212227583727,0.02741843063291966,0.005143207506994019,0.002904770630118375,0.004894367161299018,15.023473698972236,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.010843095320927502,0.0025983733534582216,0.0042021718511054155,0.04485068055042385,0.008429790464934339,-0.15821199832396243,0.09038344015165148,0.240938660913312,0.16622880294522863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9682611202229011,1.1784071911924746e-06,0.5299401197604791,0.00037425149700598805,-0.0002490035406014654,5.430243798079463e-06,0.9769982514372915,0.0,-9.29140668259317e-06,0.22386462715468453,68214.37498092894,3.891031961848759,0.015304685373474531,0.020951392553190545,0.05963566799913883,0.020028958324104427,0.003048732905651102,0.001861292167690723,0.0032076565568764015,9.935577591133079,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.004102233759652499,0.0019146274434729419,0.0031634529552282097,0.03196736432721116,0.006366238818117808,-0.15358197259099704,-0.0041634396905470055,0.09589440597671771,0.15200473212587148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9812206172157718,-1.1613235892892571e-05,0.5156660602385285,0.0,7.682846607678372e-05,5.554407332186627e-06,0.9784583982077727,0.0,-2.900126829783848e-05,0.20639486681343366,45679.44996634396,4.508349744069908,0.020035307775538296,0.0038570971956517234,0.05487721788142381,0.027456849290075087,0.01034619193181725,0.0021190595911503153,0.0036827656183918847,10.474511559056008,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.006202171452308753,0.0017134058819279659,0.0027711848498813427,0.0409344170132881,0.006775934307893832,-0.031218431869373786,-0.18818528734135725,0.15833010625842583,0.31648470692173475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9735698046258817,-8.676486342148045e-06,0.5205684367988033,0.0011219147344801795,-0.0004240271121321438,9.435302037580561e-06,0.9715532582624392,0.0,-7.382409311334193e-07,0.2123088921762371,59046.458282924184,4.491408331656994,0.02132473778726732,0.008223715268866581,0.07697392778691273,0.02069325182666446,0.015478016778644507,0.002477685105889015,0.004341239625477854,13.243226890976786,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.005699666559270002,0.0022249028935008024,0.0036240877745144138,0.03364138982638721,0.005922906629853968,-0.05492446069584654,0.017638979606111826,0.16144122439473924,0.08147371047489937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9739857795054255,-3.7722293485754714e-06,0.4915743861338469,0.00048146364949446316,-0.00018099030371125806,5.592183475820013e-06,0.9741156315453353,0.0,-3.2449736627580955e-07,0.20361851242612877,32823.81652607668,4.759370795817468,0.02052639280354112,0.004134557311207394,0.05905131863783728,0.020556835438077913,0.00015008584210377335,0.002850632499451466,0.004656463694043251,11.838676770221937,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.009185662909843757,0.0022743085126953866,0.003266191285012854,0.03696170693955512,0.008158190010068773,-0.1265095343884409,-0.06345477005314011,-0.03769161468942856,0.12145466654189617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749803542540331,-1.1060326345916608e-05,0.5414920368818106,0.00033528918692372173,-0.000852671041887052,3.207092500718243e-05,0.9669129063834135,0.0,-3.728780160964024e-18,0.21578641335503848,121956.06371411704,4.134542455103749,0.01767954986197468,0.010284225094297729,0.07587224192705752,0.029955345675303117,0.0010416457411230903,0.002313776637932831,0.003866315226501256,13.341236094320704,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.04609530083202247,0.001873494233206115,0.0030332239933890067,0.04126823473883875,0.04707640298250824,-0.19734106363826445,-0.12284019525217248,0.18022989713992993,0.15209052422982286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9693842786155535,-6.7724880314197635e-06,0.5173781639591991,0.0,-0.00029469996860734363,6.764303795097805e-06,0.9726335693689155,0.0,-4.078215502371212e-07,0.20828049218712333,67824.22339561878,4.613023249616491,0.01119919853963279,0.01878629739323444,0.06965540503327683,0.0229331797905611,0.0036970820926780132,0.003029441098628329,0.005233005692566891,16.034831735039745,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.006034297460836256,0.002528031708801255,0.004125778753274902,0.03427642861254599,0.0054317461041578936,-0.16704852444761195,-0.16748901798824872,0.22166989231443254,0.17954857537851818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9517670284914277,-1.3497001724443145e-06,0.5399740307920609,0.0,0.00017736138225012496,1.6726956228337752e-05,0.9783955094308282,0.0,0.0,0.20645949262167484,51047.0392760371,4.351114793386755,0.045222150578364304,0.010161041756670385,0.05980260962177336,0.01399469048924943,0.0019655954466776733,0.0026967240824324248,0.00466849840255477,12.736627841328342,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.008272965672466243,0.0022893983945255153,0.0037571741553324824,0.05389458260970811,0.018116829850389052,-0.04931513341726305,0.1181242775534948,0.2412419356213556,0.11684188936335428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9539827169766814,6.808368066309684e-06,0.42108667529107374,0.0003234152652005175,-9.348801961652521e-05,6.09352691377873e-06,0.9716331624915394,0.0,0.0,0.18288703632737943,47298.40319215895,5.238959889994747,0.018084204321106103,0.014375797379060067,0.08478692736240362,0.020508936221345923,0.005119445126183091,0.0024343015493044308,0.0033550321187409385,7.524426088899996,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.005006590109778752,0.002353515693913644,0.002739403588902607,0.037619725775775846,0.004703329149079958,0.20450657508517991,0.21098002973860225,-0.004821980958822841,0.06543565986538268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
